POSTCODE,PC_NAME,PC_TYPE,PA_NAME,PA_FIPS,CITY_TOWN,COUNTY,AREA_SQMI,zipcodenum,PWSID,PWSName,Size,FacilityID,FacilityName,FacilityWaterType,SamplePointID,SamplePointName,SamplePointType,AssociatedFacilityID,AssociatedSamplePointID,CollectionDate,SampleID,ADONA,MRL,Units,MethodID,AnalyticalResultsSign,AnalyticalResultValue,SampleEventCode,MonitoringRequirement,Region,State,UCMR1SampleType,ZIPCODE
"2726",SOMERSET,NON UNIQUE,SOMERSET,"62465","SOMERSET, TOWN OF",BRISTOL,5.81406387,"2726",,,,,,,,,,,,,,,,,,,,,,,,,
"1088",WEST HATFIELD,NON UNIQUE,WEST HATFIELD,"76485","HATFIELD, TOWN OF",HAMPSHIRE,5.80545988,"1088",,,,,,,,,,,,,,,,,,,,,,,,,
"1070",PLAINFIELD,NON UNIQUE,PLAINFIELD,"53995","PLAINFIELD, TOWN OF",HAMPSHIRE,19.14670368,"1070",,,,,,,,,,,,,,,,,,,,,,,,,
"2021",CANTON,NON UNIQUE,CANTON,"11350","CANTON, TOWN OF",NORFOLK,19.02226963,"2021",,,,,,,,,,,,,,,,,,,,,,,,,
"2364",KINGSTON,NON UNIQUE,KINGSTON,"33185","KINGSTON, TOWN OF",PLYMOUTH,18.95810695,"2364",,,,,,,,,,,,,,,,,,,,,,,,,
"2721",FALL RIVER,NON UNIQUE,FALL RIVER,"23000",FALL RIVER,BRISTOL,5.75393712,"2721",,,,,,,,,,,,,,,,,,,,,,,,,
"2635",COTUIT,NON UNIQUE,COTUIT,"15515",BARNSTABLE,BARNSTABLE,5.69000413,"2635",,,,,,,,,,,,,,,,,,,,,,,,,
"1342",DEERFIELD,NON UNIQUE,DEERFIELD,"16635","DEERFIELD, TOWN OF",FRANKLIN,19.72516246,"1342",,,,,,,,,,,,,,,,,,,,,,,,,
"1036",HAMPDEN,NON UNIQUE,HAMPDEN,"28040","HAMPDEN, TOWN OF",HAMPDEN,19.64372813,"1036",,,,,,,,,,,,,,,,,,,,,,,,,
"1226",DALTON,NON UNIQUE,DALTON,"16215","DALTON, TOWN OF",BERKSHIRE,19.59946819,"1226",,,,,,,,,,,,,,,,,,,,,,,,,
"2717",EAST FREETOWN,NON UNIQUE,EAST FREETOWN,"19120","FREETOWN, TOWN OF",BRISTOL,19.49451905,"2717",,,,,,,,,,,,,,,,,,,,,,,,,
"2571",WAREHAM,NON UNIQUE,WAREHAM,"72950","WAREHAM, TOWN OF",PLYMOUTH,19.28675957,"2571",,,,,,,,,,,,,,,,,,,,,,,,,
"2532",BUZZARDS BAY,NON UNIQUE,BUZZARDS BAY,"10015","BOURNE, TOWN OF",BARNSTABLE,19.06934684,"2532",,,,,,,,,,,,,,,,,,,,,,,,,
"1746",HOLLISTON,NON UNIQUE,HOLLISTON,"30735","HOLLISTON, TOWN OF",MIDDLESEX,18.92314106,"1746",,,,,,,,,,,,,,,,,,,,,,,,,
"2019",BELLINGHAM,NON UNIQUE,BELLINGHAM,"04965","BELLINGHAM, TOWN OF",NORFOLK,18.92076166,"2019",,,,,,,,,,,,,,,,,,,,,,,,,
"1505",BOYLSTON,NON UNIQUE,BOYLSTON,"07490","BOYLSTON, TOWN OF",WORCESTER,18.74784871,"1505",,,,,,,,,,,,,,,,,,,,,,,,,
"1532",NORTHBOROUGH,NON UNIQUE,NORTHBOROUGH,"46785","NORTHBOROUGH, TOWN OF",WORCESTER,18.69268075,"1532",,,,,,,,,,,,,,,,,,,,,,,,,
"2740",NEW BEDFORD,NON UNIQUE,NEW BEDFORD,"45000",NEW BEDFORD,BRISTOL,5.63284471,"2740",,,,,,,,,,,,,,,,,,,,,,,,,
"1109",SPRINGFIELD,NON UNIQUE,SPRINGFIELD,"67000",SPRINGFIELD,HAMPDEN,5.49722773,"1109",,,,,,,,,,,,,,,,,,,,,,,,,
"1747",HOPEDALE,NON UNIQUE,HOPEDALE,"30980","HOPEDALE, TOWN OF",WORCESTER,5.43176771,"1747",,,,,,,,,,,,,,,,,,,,,,,,,
"1754",MAYNARD,NON UNIQUE,MAYNARD,"39660","MAYNARD, TOWN OF",MIDDLESEX,5.3755576,"1754",MA2174000,"MAYNARD DPW, WATER DIVISION",L,"10001",Old Marlboro Road WTP,GW,EP01,Entry Point to Dist. System,EP,,,2023/12/04 00:00:00,M3K0554-01,PFOS,0.004,µg/L,EPA 533,=,0.0042,SE1,AM,"1",MA,,"1754"
"2132",WEST ROXBURY,NON UNIQUE,WEST ROXBURY,"77710",BOSTON,SUFFOLK,5.35024886,"2132",,,,,,,,,,,,,,,,,,,,,,,,,
"1026",CUMMINGTON,NON UNIQUE,CUMMINGTON,"16005","WINDSOR, TOWN OF",BERKSHIRE,5.21486287,"1026",,,,,,,,,,,,,,,,,,,,,,,,,
"1022",CHICOPEE,NON UNIQUE,CHICOPEE,"13660",CHICOPEE,HAMPDEN,5.13362779,"1022",,,,,,,,,,,,,,,,,,,,,,,,,
"2459",NEWTON CENTER,NON UNIQUE,NEWTON CENTER,"45595",NEWTON,MIDDLESEX,5.0984046,"2459",,,,,,,,,,,,,,,,,,,,,,,,,
"2148",MALDEN,NON UNIQUE,MALDEN,"37875",MALDEN,MIDDLESEX,5.06604148,"2148",,,,,,,,,,,,,,,,,,,,,,,,,
"2559",POCASSET,NON UNIQUE,POCASSET,"54450","BOURNE, TOWN OF",BARNSTABLE,5.0456276,"2559",,,,,,,,,,,,,,,,,,,,,,,,,
"1529",MILLVILLE,NON UNIQUE,MILLVILLE,"41620","MILLVILLE, TOWN OF",WORCESTER,5.04278197,"1529",,,,,,,,,,,,,,,,,,,,,,,,,
"2128",EAST BOSTON,NON UNIQUE,EAST BOSTON,"18280",BOSTON,SUFFOLK,5.03662929,"2128",,,,,,,,,,,,,,,,,,,,,,,,,
"2482",WELLESLEY,NON UNIQUE,WELLESLEY,"74210","WELLESLEY, TOWN OF",NORFOLK,4.86989379,"2482",,,,,,,,,,,,,,,,,,,,,,,,,
"1905",LYNN,NON UNIQUE,LYNN,"37490",LYNN,ESSEX,4.86558319,"1905",,,,,,,,,,,,,,,,,,,,,,,,,
"2176",MELROSE,NON UNIQUE,MELROSE,"40115",MELROSE,MIDDLESEX,4.76891454,"2176",,,,,,,,,,,,,,,,,,,,,,,,,
"2478",BELMONT,NON UNIQUE,BELMONT,"05105","BELMONT, TOWN OF",MIDDLESEX,4.70109307,"2478",,,,,,,,,,,,,,,,,,,,,,,,,
"1376",TURNERS FALLS,NON UNIQUE,TURNERS FALLS,"70815","MONTAGUE, TOWN OF",FRANKLIN,4.60415993,"1376",,,,,,,,,,,,,,,,,,,,,,,,,
"1053",LEEDS,NON UNIQUE,LEEDS,"34725",NORTHAMPTON,HAMPSHIRE,4.5818973,"1053",,,,,,,,,,,,,,,,,,,,,,,,,
"2630",BARNSTABLE,NON UNIQUE,BARNSTABLE,"03600",BARNSTABLE,BARNSTABLE,4.29315241,"2630",MA4020000,BARNSTABLE FIRE DISTRICT,S,402000003G,GP WELL  3,GW,"10005",WELL #3 & WELL #4,EP,,,2023/10/17 00:00:00,110311R,PFOS,0.004,µg/L,EPA 533,=,0.0071,SE2,AM,"1",MA,,"2630"
"2556",NORTH FALMOUTH,NON UNIQUE,NORTH FALMOUTH,"47730","FALMOUTH, TOWN OF",BARNSTABLE,4.24815583,"2556",,,,,,,,,,,,,,,,,,,,,,,,,
"2743",ACUSHNET,NON UNIQUE,ACUSHNET,"00485","ACUSHNET, TOWN OF",BRISTOL,18.3472538,"2743",,,,,,,,,,,,,,,,,,,,,,,,,
"1824",CHELMSFORD,NON UNIQUE,CHELMSFORD,"13100","CHELMSFORD, TOWN OF",MIDDLESEX,18.1405142,"1824",MA3056000,CHELMSFORD WATER DISTRICT,L,"9",Riverneck WTP,GW,"1305",Entry Point to Dist. System,EP,,,2023/12/27 00:00:00,810-89127-1,PFOS,0.004,µg/L,EPA 533,=,0.0053,SE1,AM,"1",MA,,"1824"
"1775",STOW,NON UNIQUE,STOW,"68015","STOW, TOWN OF",MIDDLESEX,17.99819497,"1775",MA2002000,ACTON WATER SUPPLY DISTRICT,L,"32",South Acton WTP,GU,MULT14,Entry Point to the Distribution System,EP,,,2023/12/06 00:00:00,810-87135-1,PFOS,0.004,µg/L,EPA 533,=,0.0047,SE4,AM,"1",MA,,"1775"
"1756",MENDON,NON UNIQUE,MENDON,"40220","MENDON, TOWN OF",WORCESTER,17.98531918,"1756",,,,,,,,,,,,,,,,,,,,,,,,,
"2645",HARWICH,NON UNIQUE,HARWICH,"28985",HARWICH,BARNSTABLE,17.91297128,"2645",,,,,,,,,,,,,,,,,,,,,,,,,
"2081",WALPOLE,NON UNIQUE,WALPOLE,"72460","WALPOLE, TOWN OF",NORFOLK,17.88059135,"2081",MA4307000,WALPOLE WATER DEPT,L,"58",Edward J. Delaney WTP,GW,"10355",Entry Point to Dist. System,EP,,,2024/02/07 00:00:00,L2406618-01,PFOS,0.004,µg/L,EPA 533,=,0.004,SE2,AM,"1",MA,,"2081"
"1062",FLORENCE,NON UNIQUE,FLORENCE,"24050",NORTHAMPTON,HAMPSHIRE,17.85836956,"1062",,,,,,,,,,,,,,,,,,,,,,,,,
"1969",ROWLEY,NON UNIQUE,ROWLEY,"58370","ROWLEY, TOWN OF",ESSEX,17.76656333,"1969",MA3254000,ROWLEY WATER DEPARTMENT,S,325400002G,HAVERHILL ST. GP WELL 2,GW,"10002",HAVERHILL ST. GP WELL # 2,EP,,,2023/07/10 00:00:00,105843P,PFOS,0.004,µg/L,EPA 533,=,0.0055,SE2,AM,"1",MA,,"1969"
